Deprecated Feature: Support for Python version 3.10 has been deprecated. Please update to Python 3.11 or above
18:16:10 INFO    yt2ds.stages.download: https://www.youtube.com/watch?v=eISTBEKCqrs&list=PLP_tI_cUzJfQb6CMA3ocTRCk0Gl7p8f6q -> 0 video(s)
Deprecated Feature: Support for Python version 3.10 has been deprecated. Please update to Python 3.11 or above
18:16:31 INFO    yt2ds.stages.download: https://www.youtube.com/playlist?list=PLP_tI_cUzJfQb6CMA3ocTRCk0Gl7p8f6q -> 1130 video(s)
18:16:31 INFO    yt2ds.pipeline: eISTBEKCqrs: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: QL4814hd6BM: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: jY-P_n9LmoM: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: 67i4K4VQym0: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: _0ksEgF3Hvo: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: ple4ye2wETA: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: Jh6ZdvtRBOg: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: WcQ2ygAkO0s: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: YJ8dVmLmg9E: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: Uei0u7U73bI: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: rxvMiU4gwAU: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: HBrIkf65byk: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: uYK00TUWWPc: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: Po9FD9QyV0E: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: 45m7bZJRTH0: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: Pt-5uemJhHc: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: d1TZo2aoUhs: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: gQnpsrGSYu8: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: 0Zy61Euutnk: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: SX1wSHwKW4I: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: QIXi4SOAQOk: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: Qs6VJwT2vZw: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: J_GI5S3W6dI: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: Z0j2GUx7wxY: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: OVPSxwTzgts: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: WBsaJWieaGM: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: uof_wKg-nd4: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: _o4jXNyklHs: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: QOHDbNldjkw: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: 2PtXgGKIekM: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: 4k-IhoYvXEc: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: -AAxgTK8g8o: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: DnAG5T9Rr6A: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: QJkptxORdO4: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: SEZ1fWYFq6E: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: -ygb_eMSmMI: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: csOwdWVALFw: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: 8JTwkXfpwNc: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: Ht9sYD13Et4: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: Lcg_W5hKbd8: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: uclSdj9WEDU: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: -GPQeIXN0Dg: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: x3TWDq5Czn0: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: WUXht05VMIc: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: DGlPX8f7nTA: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: tCoG7chkCGI: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: 6kVS2EoenZs: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: mk6vxkWh_F4: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: UL4KqWbWYFs: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: M09eVU0hiG8: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: LYYv_XJHLnM: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: 7hJ6vkyaW2M: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: AfioVgn5J6c: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: F5uReXDxOz0: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: HoeHsRcNxmI: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: Bs86oPF_5YQ: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: qcFWtTqagLo: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: p11VCK4K5o0: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: sM6dMHaQAGY: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: k42wF0LuQjQ: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: FKSx5W_XVlI: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: wOzYg-6H_qU: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: Q4svb6pakHg: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: 7SJ51Wd3HHc: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: GanLh_NaXDI: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: NpOQoJHCs_c: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: 4vjqmx3mt7k: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: Tuvy4eHE7y8: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: 7fE_xnxBqvo: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: zbPehX6UPqs: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: WmLsyXPAdIM: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: uRF5d2yOyww: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: R0CY9W1-gMo: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: uicrUE_8Aw0: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: 6r8JB0ts8L0: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: YKd9plXYywk: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: eYsYBDTWj3k: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: frPywdNehMU: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: GfKioZyz2IM: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: 7HOzsrQffMg: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: tL9hNw-2PMM: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: 1o8qefeO9I4: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: TT4F17FgyTg: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: HHoTawTKnow: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: rfUu4dgfjDY: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: kginAebW6MM: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: s6yzEEvT-dY: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: Ihm5dzs6L7c: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: 7fdAD7_WlX8: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: SV6V6zRwnmI: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: jV4Yf5QLTFo: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: ZtK1CdRq5PI: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: 1p4IR_SUlzw: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: 3b9ojOH_WXc: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: O5rSXNQPtrg: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: 0LIxkcU-oFE: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: sgrMBzUj0C4: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: 0UpmwWLQ6qw: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: zkCOlGziRII: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: wVILJZ-nxBk: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: FxEboZsZi8Q: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: lVebcKjKcKg: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: trkoRtwuKZo: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: WWc1XlnGdVg: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: oh3VO48bACI: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: gCXI_z4JA6Q: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: dJh1hCJIEDA: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: i3_47kY-iYs: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: BgW8oRtKArg: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: FyANbZWtlEw: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: mCmPdT2qTlQ: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: K0a3KW8xMqI: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: ElsJevezVpQ: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: s88Z6JCAFYI: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: i2v0iZJh_6k: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: X_lVukCOimA: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: pwTB3rmsC7A: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: DOh0O7wyuqc: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: z8zEc6iuV44: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: fQ4z3tEEgrM: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: 19BzNkom-VM: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: Y6bamN2BPk8: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: IdhEG0tE_EA: already complete, skipping
18:16:31 INFO    yt2ds.pipeline: 0EdIYdegHjc: already complete, skipping
